file_size  throughput
1239622    36498.427
3395042    37536.522
3446832    44689.118
390875456  2157666.091
3643243    51866.842
3523585    46723.033
1488670    296521.125
3641072    54292.813
3440608    31782.432
3572065    46410.033
3668737    52343.555
3525564    44593.697
3573253    51211.703
3555664    42855.646
3463549    42111.077
3500615    43157.716
3543758    42386.973
3458614    40283.422
3577830    43451.947
879938     38430.826
3590415    44014.111
3441653    37779.966
3520140    42348.767
3598605    46657.989
3583676    46102.341
372594759  2132477.918
3599116    47267.447
2616016    35710.970
3383494    44025.404
1415630    47068.461
1449247    53682.069
43686301   373818.958
3388050    45810.693
1386161    46971.086
1440011    55416.212
3464924    48763.178
3433375    48085.087
3338652    37196.629
1468280    64503.196
3633382    51412.168
3655727    54294.948
3648970    57480.592
2402924    46007.757
3455482    43169.254
3341589    42867.082
1860708    44018.879
1842929    38715.041
437570558  519153.553
3288232    36341.323
1815181    40547.671
3357902    47259.009
3320521    38053.238
3045634    261412.657
3260354    39800.606
1820826    40705.165
1916686    44768.996
2841053    49318.032
2920662    57887.646
3015204    59043.250
2811720    40776.007
2935901    54178.782
3555838    50393.099
682664     30711.236
3495276    47021.743
3530394    45234.980
3585113    47537.289
196688     112132.651
3498849    41381.596
3384750    39927.815
3471564    44635.518
3526309    47410.334
3211893    50891.616
3494037    45192.646
3185670    44064.573
2061920    43439.631
2141691    56592.936
3130809    39923.842
3239343    50480.303
2041749    41901.683
13413      87398.402
2107296    46951.958
3171487    35372.989
2130530    55155.210
1355145    1542932.191
20548382   3075761.772
3741459    56034.065
3678820    51519.244
3674852    54815.687
3810207    57787.569
3720879    55701.610
3689608    55191.769
3630378    48042.266
1355102    638047.862
3690619    55783.225
3583210    48216.158
15384754   366411.516
3498685    40727.973
3344127    41668.503
3506488    40586.996
3565567    43450.860
97493      8704.943
3622195    47873.952
3615285    48057.345
3446076    37957.427
3388807    34222.084
2427236    4046049.130
3444491    39488.946
3482415    47466.428
3361607    38833.991
3537248    47849.179
3373436    37366.631
3160040    39657.237
2117100    51496.093
3081181    38817.870
3127521    41681.051
3282150    56364.240
2103112    48374.319
3226297    44973.260
2110802    49571.730
2099781    52416.027
72756      16409.358
17906681   5224650.669
2200000    64823.451
3902303    77730.298
4102881    108435.719
3997417    86419.429
1799792    426488.999
4031346    100257.907
1235210    199653.426
4004470    92434.115
3850715    75498.210
3880707    74243.029
522000     1516597.592
445365742  474392.397
3834254    67522.345
2331006    328813.192
3658571    55136.631
891603     31345.797
3638449    51878.333
3589709    47272.577
3604561    43490.387
3548978    39086.554
3471966    40127.975
3534489    41893.726
3580349    43522.920
3644232    48932.454
3497220    38668.914
350454477  519347.502
3743655    54783.862
3545446    40611.254
3665069    45518.571
3662105    51873.589
3767068    58629.387
3669901    50093.936
3731406    53833.325
3783658    59061.120
3755153    59174.417
3739243    51936.971
3694716    53543.567
3761906    61102.666
3795837    60492.849
3762996    61130.704
3827008    61845.849
3688833    52383.057
3763171    58063.012
3717450    52677.079
3662173    49433.444
3646369    48781.511
3650261    47471.625
3377645    41756.607
1084509    68489.177
373761     338238.974
1133779    61450.580
949        6584.842
2736339    649023.564
1754       18834.368
161659     158461.466
1754       18973.238
1658       18012.831
1754       19250.055
15140      525.317
8278       523.670
1609731    53722.189
1613988    65775.416
1591823    55206.546
1617806    52717.425
1697719    74803.710
1716068    82482.803
1667030    68401.604
1627425    63082.341
1633139    64385.671
245480316  439541.927
1565613    18580.077
1601951    51879.705
1678165    71537.158
1668811    76343.712
1684728    76574.645
1638152    54556.727
1668       1198.122
1670357    67352.189
1780       6058.487
1706651    71772.261
1596750    56189.738
1625452    50291.389
1611698    56848.327
2132       781.668
57842      208195.619
1600150    55590.288
1564722    45364.122
1580732    49478.775
1660374    65015.578
1584548    47615.660
13160      439.368
1634492    55888.449
1605205    44453.564
1600881    46736.477
1646343    52662.099
4488       444.520
1558510    38256.972
524634     22767.301
1589575    50042.114
1568468    44758.868
1709948    70476.724
1643508    60611.929
9888       431.677
6370       529.370
1615602    52424.368
1653850    51168.795
1618008    38107.985
2500       837.871
1635794    46169.876
1659734    50082.793
1694955    53952.312
1648362    37049.459
1665234    51922.620
1355126    34880.812
1697183    56082.856
1663055    53855.020
1603332    42114.220
1644683    45509.353
1722506    53595.997
1674090    61327.121
1664723    53166.767
1889844    60359.107
1804881    41108.504
1840748    46659.639
1828295    49432.804
3628982    52510.420
3704284    57508.155
3508894    40257.766
3649462    55108.590
3696042    57726.614
3538047    42510.883
3700264    54852.202
3735791    55147.852
3645753    51617.849
3774879    63607.746
3695449    54293.646
3640787    48134.468
3830366    55803.792
1114       12071.235
3576214    57111.385
3617894    45441.176
3646857    48741.041
1389584    42537.927
914079     33672.347
3423363    44467.689
1368981    45838.715
3508189    52784.408
3422547    42652.254
1387738    41263.049
3483567    49360.588
1427041    49839.724
1664306    106288.559
1625561    73073.847
1534574    59173.522
1765649    86096.614
1740020    224372.234
2564074    209417.464
11197902   292713.883
1834257    204596.810
1779198    136902.188
1722833    93751.129
1682592    79640.977
1645277    55549.424
1645019    57859.936
1615551    49759.073
1706294    65896.805
2628962    234185.450
3162       42435.548
2805       21001.070
1641364    58352.412
1675186    66563.125
1692219    72376.944
1689974    67826.639
1719377    75519.842
1706817    67240.259
1698793    70999.478
1725426    69374.301
1687571    71659.475
1725886    68985.181
1792049    92632.850
1764735    82789.888
1742678    80160.796
1721510    73281.939
1929784    204353.973
1693171    69492.503
1774203    91619.963
1727117    73046.643
1816847    94859.775
1749377    72262.084
1749308    75854.709
3175498    47645.860
2546904    10560.546
3546230    48712.240
1376053    39989.171
3535483    45268.597
3518199    42486.109
3544834    47139.100
3504201    47800.399
3524896    47507.451
3373773    37682.273
3523428    50096.352
2340672    326976.622
3429718    42755.799
3176558    48222.641
3134516    42280.702
2130569    52909.760
3196674    46246.426
2152064    56218.801
3189956    49428.923
3259083    55119.479
2139832    58118.486
2173297    67098.502
2687523    305286.179
3090570    13947.839
2277563    208509.435
2263291    168654.737
2152945    97574.995
2131536    92060.758
2210614    71944.100
8286157    431106.068
4266087    337755.065
4195334    188022.086
4082672    133721.868
3013384    3269031.232
4039357    104348.885
3857557    74333.431
2618053    58286.609
3628669    52849.843
3660844    49812.574
3627094    51983.566
3586775    49921.470
3541023    45291.566
3462749    41650.794
3577749    46901.098
3070842    38511.263
3537314    39203.112
78095      46760.743
3611842    41592.487
3652001    45858.423
3559935    41353.820
3561032    40228.694
3539899    39678.884
3577237    43822.079
3602472    42251.720
3665050    51824.394
3533029    37978.913
3551065    45337.377
256447     6623.468
3668235    48629.201
3531728    41199.527
3573940    48179.375
2065928    70051.408
2013483    63307.636
1945411    52251.930
2038129    63525.193
215914994  2295035.409
17269547   50845.258
1962983    58829.294
3108217    54873.191
3082759    54578.361
3053149    45390.855
2970273    45409.693
440513835  488217.056
2965365    40369.201
3422700    39588.047
3560142    38308.343
3600603    43972.792
3489897    35731.427
3366854    44010.714
3395747    44880.798
3525771    38471.581
4823994    267792.546
1816911    38603.362
1903090    48105.216
3411078    45948.904
1901504    46602.076
1981264    56981.381
3454906    44202.988
3497893    48618.148
5292964    2825293.784
2062570    71415.621
3353797    149835.144
3358085    131602.853
3225091    94957.253
3452240    202033.845
5083251    2605236.585
3855601    366307.904
3478530    243839.665
5098312    2713073.455
12041566   540666.396
4285150    532041.563
5365101    2676997.070
4260337    384730.118
4306272    488531.058
4270628    348003.323
5161185    2021890.658
4147317    264194.981
4025296    166424.141
5207542    2675881.834
3969920    133125.127
3803077    84960.895
5708529    2376351.664
3659754    62744.180
6386926    3146881.871
3253046    56506.258
3278896    54517.049
2078101    46481.128
3220500    45290.439
6730807    1454116.382
2074513    47025.891
3154098    44659.725
2134022    53086.105
3262546    49315.113
2127615    49105.809
2108312    49772.430
3733193    60125.027
3844262    66236.550
3715165    50791.371
3707114    53161.909
3627741    46576.162
3748663    54440.996
3713723    56803.798
3614446    44110.635
3790938    63374.041
36312055   367476.708
3703621    56402.477
3797385    60584.166
3772707    61702.322
3708922    53284.888
3623895    48813.651
3647446    48645.715
3628959    47852.062
3624313    44444.972
3635940    47896.938
31612443   392285.349
74655      294666.315
3595324    47283.154
3626663    50716.979
3580431    39788.633
3689911    51374.655
275815499  532854.233
3638315    49292.907
3715323    55106.746
3685024    48125.960
3545460    39222.192
3553193    48387.447
1396331    49615.370
1380390    41716.661
1455302    56872.174
3437294    46894.667
3570117    58143.590
3609342    61223.362
1434385    52457.793
3393031    44601.302
1505156    72454.817
3974285    99134.441
3910816    80078.934
3987780    105377.575
3669869    61328.594
3582081    52771.739
3480828    50107.370
3440866    49401.119
3367148    43316.193
1860900    40113.092
1911542    44786.787
3392548    44121.707
1847414    40567.936
1931137    50802.351
3456093    44773.302
1966805    52265.112
2991030    53414.452
3039201    61814.047
3045010    67706.870
2938158    57157.525
3015436    56602.822
3584304    50370.912
3574213    51683.601
3363906    42687.266
3509313    49289.328
3480226    44572.253
3396370    41305.636
3595852    47868.539
3473205    41373.068
3513981    42899.379
3560797    44642.488
124141352  523656.336
3488659    42969.951
3458541    43068.577
3515009    45228.289
3528362    48694.715
3500143    47626.703
3282156    54360.382
3491166    49722.067
3323093    60216.328
3334916    61584.672
2181755    66414.988
2189723    68634.699
2221870    75599.379
3306217    59498.014
2298426    76461.064
2307990    85980.603
4041188    111097.264
4009570    100812.576
3901745    84340.378
3840488    72443.679
2852701    10447.767
326258526  493129.792
1724856    53246.699
1865204    51987.620
1658573    36959.505
1743201    47827.474
1782231    59023.786
418877     37985.592
1795405    59241.071
1708904    43971.839
1694997    40207.558
1672024    39290.689
1725976    49183.720
1706697    42479.443
1679661    38018.344
2060966    2362046.637
974929     29132.381
1608609    31539.103
1654236    36206.315
1691117    41699.758
1700957    43048.854
1666243    40265.003
1737402    46745.985
1791913    54051.330
1762991    49502.354
1783909    47391.299
1802623    58387.319
1813470    61015.689
1780497    59106.155
1813475    52351.567
1786932    51111.702
1790871    60769.156
1771203    45808.214
1833874    62801.615
1791193    52497.439
1772148    54558.696
1731548    43651.013
1824631    53802.042
1779883    52052.608
1747599    48800.289
